date,amount,category,description
2023-04-01,3517,healthcare,Healthcare services
2022-07-08,485,entertainment,Concert tickets
2022-10-11,4664,healthcare,Healthcare services
2022-11-13,-346,bills,Internet bill
2023-05-05,2035,education,Tuition fees
2023-02-27,-70,entertainment,Amusement park visit
2023-01-09,2530,bills,Internet bill
2022-10-04,2390,transportation,Gasoline expenses
2022-09-12,-3212,groceries,Supermarket purchase
2022-06-28,4129,groceries,Food expenses
2022-10-30,-294,healthcare,Healthcare services
2022-08-16,-1951,education,Online course payment
2022-09-22,2518,entertainment,Amusement park visit
2022-10-24,4861,education,Tuition fees
2022-07-06,-4984,groceries,Supermarket purchase
2022-08-14,3444,education,Online course payment
2023-05-16,-4010,bills,Internet bill
2022-08-15,829,income,salary
2022-10-23,-1762,education,Books and materials
2022-11-27,-1204,education,Online course payment
2023-03-06,-1307,entertainment,Amusement park visit
2023-05-08,-3126,bills,Internet bill
2022-12-07,4614,clothing,Clothing purchase
2022-06-16,-979,income,Trade Market
2023-05-12,4115,healthcare,Pharmacy purchase
2022-09-04,-2347,education,Online course payment
2022-09-23,-4702,groceries,Grocery shopping
2022-08-06,1537,clothing,Shoe shopping
2023-05-24,-4223,clothing,Fashion accessories
2022-08-04,-698,education,Online course payment
2023-04-09,4735,income,salary
2023-05-02,2690,healthcare,Medical expenses
2023-01-14,-1415,transportation,Gasoline expenses
2023-03-22,-902,bills,Internet bill
2022-09-02,-1255,bills,Utility bill payment
2023-03-13,-3148,clothing,Clothing purchase
2023-04-27,1512,groceries,Supermarket purchase
2023-02-23,2679,transportation,Gasoline expenses
2022-11-21,-4499,income,salary
2022-06-09,-1600,clothing,Fashion accessories
2023-04-07,-721,income,Rent
2022-10-30,-4585,groceries,Food expenses
2023-04-08,-3739,transportation,Gasoline expenses
2022-09-23,-4124,education,Online course payment
2022-07-18,4642,groceries,Supermarket purchase
2023-05-17,4346,education,Tuition fees
2022-11-04,-4768,groceries,Grocery shopping
2022-08-31,-4507,groceries,Supermarket purchase
2023-05-06,2043,transportation,Public transportation fare
2023-03-15,-4723,income,Trade Market
2022-09-11,-1689,transportation,Public transportation fare
2022-06-04,3808,entertainment,Movie tickets
2022-07-18,-3416,education,Books and materials
2022-07-02,-1785,bills,Internet bill
2022-10-09,163,groceries,Supermarket purchase
2023-01-16,-2460,groceries,Food expenses
2023-01-06,-2119,clothing,Fashion accessories
2023-05-09,-574,clothing,Fashion accessories
2023-03-02,-2664,bills,Internet bill
2023-01-21,-1700,bills,Utility bill payment
2023-02-03,92,entertainment,Movie tickets
2022-09-13,414,education,Online course payment
2022-12-11,-1691,transportation,Taxi ride
2022-06-25,3262,healthcare,Medical expenses
2022-06-26,525,entertainment,Amusement park visit
2022-08-13,496,healthcare,Medical expenses
2022-11-06,2942,income,Rent
2022-11-20,-397,healthcare,Pharmacy purchase
2022-09-10,690,entertainment,Movie tickets
2023-04-30,2431,clothing,Shoe shopping
2022-09-12,788,transportation,Public transportation fare
2022-09-28,1299,healthcare,Pharmacy purchase
2022-12-01,3067,bills,Internet bill
2023-05-06,-1669,education,Tuition fees
2023-02-20,1924,entertainment,Amusement park visit
2023-05-18,-225,education,Tuition fees
2022-06-03,-88,clothing,Shoe shopping
2023-03-17,3917,healthcare,Medical expenses
2022-11-13,3647,education,Online course payment
2022-09-16,4942,entertainment,Movie tickets
2023-01-10,-1809,income,Trade Market
2023-05-22,-3551,bills,Internet bill
2023-01-03,-3151,healthcare,Medical expenses
2022-06-11,2535,income,Trade Market
2022-07-02,3930,bills,Phone bill
2022-08-05,-4797,bills,Phone bill
2022-09-04,-1618,transportation,Gasoline expenses
2023-03-31,-3543,income,Trade Market
2022-06-25,-2717,income,Trade Market
2023-01-07,-3692,education,Books and materials
2023-04-12,4800,entertainment,Amusement park visit
2023-02-17,-452,education,Online course payment
2022-09-07,-835,bills,Internet bill
2022-10-23,-4201,entertainment,Movie tickets
2023-04-06,-4086,income,Trade Market
2023-01-13,-3873,groceries,Supermarket purchase
2022-08-19,-3395,groceries,Supermarket purchase
2022-09-29,2106,bills,Utility bill payment
2023-05-17,711,groceries,Grocery shopping
2022-11-02,-2105,healthcare,Healthcare services
2022-09-22,-593,education,Tuition fees
2022-08-30,-4264,clothing,Clothing purchase
2023-02-12,-2513,transportation,Gasoline expenses
2022-12-30,-304,bills,Internet bill
2023-04-21,-3462,clothing,Clothing purchase
2023-02-09,-2056,healthcare,Healthcare services
2022-07-17,-2639,transportation,Public transportation fare
2023-01-03,3729,bills,Utility bill payment
2023-01-06,-1025,healthcare,Medical expenses
2023-02-09,-4545,income,Rent
2023-04-05,-2620,clothing,Fashion accessories
2023-05-15,-4215,bills,Utility bill payment
2022-07-17,-3949,bills,Internet bill
2023-05-06,-1515,entertainment,Concert tickets
2023-04-03,3516,income,salary
2023-04-06,4269,entertainment,Movie tickets
2022-12-31,-234,transportation,Taxi ride
2022-09-27,197,clothing,Clothing purchase
2023-01-31,566,clothing,Clothing purchase
2023-03-04,-224,clothing,Shoe shopping
2022-09-14,-621,entertainment,Concert tickets
2023-03-02,-1990,education,Online course payment
2023-02-25,-680,education,Books and materials
2022-08-03,-2015,education,Online course payment
2022-12-24,894,education,Books and materials
2023-01-22,-367,groceries,Grocery shopping
2022-07-06,4283,income,Trade Market
2022-09-05,1388,clothing,Shoe shopping
2022-09-27,1902,entertainment,Concert tickets
2022-12-14,-1954,bills,Internet bill
2022-10-18,279,transportation,Taxi ride
2022-08-24,-485,healthcare,Pharmacy purchase
2023-02-11,-573,entertainment,Amusement park visit
2023-05-10,1455,education,Online course payment
2023-01-25,-2165,bills,Utility bill payment
2022-07-27,4863,education,Tuition fees
2022-09-09,3571,clothing,Clothing purchase
2022-10-26,-160,entertainment,Amusement park visit
2023-02-10,-4928,healthcare,Medical expenses
2022-08-02,-1610,groceries,Grocery shopping
2022-12-24,4025,income,Rent
2022-08-16,-4550,entertainment,Concert tickets
2022-11-04,-4640,groceries,Food expenses
2023-03-13,1254,bills,Internet bill
2022-09-11,1850,clothing,Shoe shopping
2022-10-05,-4623,transportation,Public transportation fare
2022-12-13,3469,income,Rent
2023-01-22,-3934,groceries,Food expenses
2022-09-04,2009,clothing,Shoe shopping
2023-05-14,-193,clothing,Shoe shopping
2022-06-18,-2198,healthcare,Pharmacy purchase
2023-02-22,-1777,bills,Phone bill
2022-06-18,-999,clothing,Shoe shopping
2022-10-18,-1098,income,Rent
2022-10-01,-444,groceries,Food expenses
2023-03-31,932,healthcare,Medical expenses
2022-09-03,1447,clothing,Clothing purchase
2023-01-16,-1140,entertainment,Movie tickets
2022-10-05,-3133,entertainment,Amusement park visit
2022-11-22,125,education,Tuition fees
2023-01-03,1401,income,Trade Market
2023-03-02,1780,healthcare,Healthcare services
2022-09-04,4805,transportation,Gasoline expenses
2022-07-10,-992,clothing,Shoe shopping
2022-08-09,1070,clothing,Fashion accessories
2023-01-30,2943,bills,Internet bill
2023-03-12,-7,bills,Phone bill
2022-07-07,-470,education,Books and materials
2022-08-02,-2471,clothing,Fashion accessories
2022-11-03,4161,clothing,Shoe shopping
2023-03-11,-1594,clothing,Shoe shopping
2022-08-29,-4466,groceries,Grocery shopping
2023-02-22,380,clothing,Shoe shopping
2022-06-26,2253,entertainment,Movie tickets
2022-08-26,1572,clothing,Shoe shopping
2022-10-30,2352,income,Trade Market
2023-05-03,-1136,income,salary
2022-08-06,-871,entertainment,Amusement park visit
2023-01-02,857,education,Tuition fees
2022-07-08,-2114,groceries,Grocery shopping
2022-09-15,-3945,income,salary
2022-10-24,-565,groceries,Food expenses
2023-05-12,4175,clothing,Clothing purchase
2022-08-22,3300,education,Tuition fees
2022-08-14,-3698,groceries,Food expenses
2023-01-30,-1257,education,Online course payment
2022-07-30,-1713,healthcare,Healthcare services
2023-02-14,933,clothing,Fashion accessories
2023-02-04,3513,healthcare,Healthcare services
2022-05-30,-471,groceries,Supermarket purchase
2023-05-09,1922,bills,Utility bill payment
2022-11-01,-1105,entertainment,Movie tickets
2022-10-12,-2919,income,Rent
2022-07-07,3813,healthcare,Healthcare services
2023-05-13,1682,income,Rent
2022-11-12,-1518,entertainment,Movie tickets
2022-06-28,2410,income,salary
2023-05-23,4296,entertainment,Amusement park visit
2022-05-29,1510,groceries,Food expenses
2022-07-02,-4713,income,salary
2022-12-08,-4338,education,Online course payment
2022-12-08,1387,clothing,Fashion accessories
2023-03-21,-1918,bills,Phone bill
2022-10-13,4141,bills,Internet bill
2023-04-25,4719,healthcare,Medical expenses
2022-11-22,-3962,transportation,Taxi ride
2023-01-19,2934,groceries,Grocery shopping
2022-10-06,166,income,Rent
2022-11-21,2999,entertainment,Amusement park visit
2022-07-29,3291,clothing,Clothing purchase
2022-11-22,2418,income,salary
2023-02-01,-2424,education,Online course payment
2023-04-21,-3811,groceries,Food expenses
2022-08-31,-1358,income,Trade Market
2023-05-23,-2799,entertainment,Concert tickets
2023-03-14,-2129,income,Trade Market
2022-08-25,-3029,clothing,Clothing purchase
2023-01-08,926,clothing,Fashion accessories
2022-08-02,297,education,Online course payment
2023-02-15,-1624,education,Books and materials
2022-09-25,-1696,entertainment,Concert tickets
2022-05-31,-2106,income,Trade Market
2022-07-29,-4766,income,salary
2022-08-21,1758,healthcare,Medical expenses
2022-12-13,-4214,entertainment,Concert tickets
2023-02-16,-2837,income,Rent
2022-07-29,-4653,income,salary
2022-10-08,2295,education,Tuition fees
2022-11-23,-1871,bills,Phone bill
2022-11-10,-1483,healthcare,Healthcare services
2023-02-19,286,clothing,Shoe shopping
2023-03-22,-2592,education,Tuition fees
2023-04-20,4237,income,Rent
2022-10-28,-258,bills,Phone bill
2022-08-27,522,entertainment,Amusement park visit
2022-10-01,1183,bills,Phone bill
2022-12-08,-13,clothing,Shoe shopping
2022-09-03,1696,clothing,Fashion accessories
2022-10-25,-625,bills,Phone bill
2022-09-17,80,entertainment,Concert tickets
2023-05-02,-1586,bills,Utility bill payment
2022-09-23,1839,entertainment,Concert tickets
2022-09-01,-1135,healthcare,Pharmacy purchase
2023-05-08,1769,transportation,Gasoline expenses
2022-07-27,-4173,income,Rent
2023-02-07,-4487,education,Online course payment
2022-09-15,239,education,Online course payment
2022-07-19,-815,transportation,Public transportation fare
2022-09-15,1681,bills,Utility bill payment
2023-01-18,4972,transportation,Public transportation fare
2022-08-19,1958,education,Online course payment
2023-01-27,-4033,education,Online course payment
2022-12-30,3986,bills,Phone bill
2023-04-14,3244,clothing,Shoe shopping
2023-01-02,4924,healthcare,Pharmacy purchase
2022-07-23,1362,bills,Internet bill
2022-06-15,-1321,education,Tuition fees
2022-09-03,2597,groceries,Food expenses
2023-01-25,-4608,clothing,Shoe shopping
2023-02-20,-3821,clothing,Clothing purchase
2022-06-18,4837,groceries,Food expenses
2023-05-05,-585,groceries,Grocery shopping
2023-02-12,-3004,healthcare,Pharmacy purchase
2023-02-14,2247,education,Online course payment
2022-07-14,-2924,groceries,Food expenses
2023-05-04,808,entertainment,Amusement park visit
2022-11-04,-1449,entertainment,Movie tickets
2022-08-20,-685,groceries,Supermarket purchase
2023-05-16,-793,entertainment,Amusement park visit
2023-04-18,-4952,groceries,Grocery shopping
2022-12-10,-1329,bills,Utility bill payment
2022-05-29,-728,healthcare,Medical expenses
2022-09-29,2314,clothing,Shoe shopping
2022-11-11,-2820,bills,Internet bill
2022-10-04,-1795,groceries,Grocery shopping
2023-01-14,1686,groceries,Grocery shopping
2023-04-21,4134,groceries,Grocery shopping
2022-11-24,-3902,bills,Internet bill
2023-05-08,-2429,education,Tuition fees
2022-08-13,1110,entertainment,Movie tickets
2023-01-26,4090,groceries,Food expenses
2023-01-28,1698,transportation,Public transportation fare
2023-04-30,3251,entertainment,Movie tickets
2022-06-09,2971,income,Rent
2023-03-04,1241,groceries,Grocery shopping
2022-06-30,2242,transportation,Gasoline expenses
2022-05-26,2650,groceries,Supermarket purchase
2022-10-10,1580,healthcare,Healthcare services
2023-01-24,935,education,Online course payment
2022-07-07,-3983,entertainment,Movie tickets
2022-10-28,-4996,groceries,Food expenses
2023-04-24,264,entertainment,Movie tickets
2022-08-21,3692,bills,Phone bill
2022-09-05,2050,education,Online course payment
2023-03-31,1657,entertainment,Concert tickets
2023-02-16,1409,groceries,Supermarket purchase
2023-03-12,-3881,transportation,Public transportation fare
2022-09-28,4569,groceries,Grocery shopping
2022-12-02,2072,clothing,Shoe shopping
2023-04-17,-444,entertainment,Movie tickets
2022-07-11,-4594,education,Books and materials
2023-02-16,-2183,clothing,Shoe shopping
2022-06-27,-576,healthcare,Pharmacy purchase
2022-07-17,-4947,bills,Internet bill
2022-08-19,4461,clothing,Clothing purchase
2022-09-24,3934,healthcare,Pharmacy purchase
2022-09-29,4909,clothing,Clothing purchase
2022-06-07,-4481,clothing,Clothing purchase
2023-02-19,2409,clothing,Clothing purchase
2022-08-12,4321,education,Tuition fees
2023-04-14,3653,income,Rent
2022-12-28,-2199,clothing,Fashion accessories
2022-11-11,-1178,bills,Utility bill payment
2022-08-24,-3972,transportation,Taxi ride
2022-07-31,1368,education,Books and materials
2023-03-27,-3020,education,Books and materials
2023-05-01,2910,income,salary
2022-12-31,-379,transportation,Public transportation fare
2022-12-06,61,bills,Utility bill payment
2022-10-15,2638,groceries,Grocery shopping
2023-05-16,2154,transportation,Gasoline expenses
2022-10-15,-3054,entertainment,Concert tickets
2022-12-21,686,groceries,Supermarket purchase
2022-10-23,-4608,clothing,Shoe shopping
2022-10-21,3159,clothing,Clothing purchase
2022-06-04,-3047,clothing,Shoe shopping
2023-04-04,-2909,income,Trade Market
2023-01-31,-1791,groceries,Grocery shopping
2023-03-29,-4643,transportation,Public transportation fare
2022-09-21,3621,groceries,Food expenses
2022-06-25,241,transportation,Taxi ride
2022-08-17,-3738,groceries,Grocery shopping
2023-01-05,-4127,income,salary
2022-06-12,4136,healthcare,Medical expenses
2023-03-19,-1631,income,Trade Market
2023-02-13,-3710,clothing,Clothing purchase
2022-08-01,-2256,entertainment,Amusement park visit
2022-07-10,-909,income,Rent
2022-06-10,-2088,clothing,Fashion accessories
2022-11-07,1697,income,salary
2023-01-21,3930,clothing,Shoe shopping
2022-12-15,-3062,transportation,Gasoline expenses
2023-01-03,-3253,education,Tuition fees
2022-10-22,-2121,education,Tuition fees
2022-10-11,2650,income,Trade Market
2022-11-15,-4052,groceries,Food expenses
